Store,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday
1,2010-02-05,4231,2572,0,0,0,0,0,211.0963582,8.106,FALSO
2,2010-02-05,4019,2572,0,0,0,0,0,210.7526053,8.324,FALSO
3,2010-02-05,4571,2572,0,0,0,0,0,214.4248812,7.368,FALSO
4,2010-02-05,4376,2598,0,0,0,0,0,126.4420645,8.623,FALSO
5,2010-02-05,397,2572,0,0,0,0,0,211.6539716,6.566,FALSO
6,2010-02-05,4043,2572,0,0,0,0,0,212.6223518,7.259,FALSO
7,2010-02-05,1053,258,0,0,0,0,0,189.3816974,9.014,FALSO
8,2010-02-05,3414,2572,0,0,0,0,0,214.4714512,6.299,FALSO
9,2010-02-05,3801,2572,0,0,0,0,0,214.6554591,6.415,FALSO
10,2010-02-05,5434,2962,0,0,0,0,0,126.4420645,9.765,FALSO
11,2010-02-05,4604,2572,0,0,0,0,0,214.4248812,7.368,FALSO
12,2010-02-05,4947,2962,0,0,0,0,0,126.4420645,13.975,FALSO
13,2010-02-05,3153,2666,0,0,0,0,0,126.4420645,8.316,FALSO
14,2010-02-05,2731,2784,0,0,0,0,0,181.8711898,8.992,FALSO
15,2010-02-05,1983,2954,0,0,0,0,0,131.5279032,8.35,FALSO
16,2010-02-05,1979,258,0,0,0,0,0,189.3816974,7.039,FALSO
17,2010-02-05,2311,2666,0,0,0,0,0,126.4420645,6.548,FALSO
18,2010-02-05,2133,2788,0,0,0,0,0,131.5279032,9.202,FALSO
19,2010-02-05,2096,2954,0,0,0,0,0,131.5279032,8.35,FALSO
20,2010-02-05,2592,2784,0,0,0,0,0,204.2471935,8.187,FALSO
21,2010-02-05,3905,2572,0,0,0,0,0,210.7526053,8.324,FALSO
22,2010-02-05,2436,2788,0,0,0,0,0,135.3524608,8.283,FALSO
23,2010-02-05,1525,2788,0,0,0,0,0,131.5279032,5.892,FALSO
24,2010-02-05,2243,2954,0,0,0,0,0,131.5279032,8.326,FALSO
25,2010-02-05,211,2784,0,0,0,0,0,204.2471935,8.187,FALSO
26,2010-02-05,955,2788,0,0,0,0,0,131.5279032,8.488,FALSO
27,2010-02-05,2719,2954,0,0,0,0,0,135.3524608,8.237,FALSO
28,2010-02-05,4947,2962,0,0,0,0,0,126.4420645,13.975,FALSO
29,2010-02-05,2436,2788,0,0,0,0,0,131.5279032,10.064,FALSO
30,2010-02-05,3905,2572,0,0,0,0,0,210.7526053,8.324,FALSO
31,2010-02-05,3905,2572,0,0,0,0,0,210.7526053,8.324,FALSO
32,2010-02-05,3443,258,0,0,0,0,0,189.3816974,9.014,FALSO
33,2010-02-05,584,2962,0,0,0,0,0,126.4420645,10.115,FALSO
34,2010-02-05,3544,2598,0,0,0,0,0,126.4420645,9.521,FALSO
35,2010-02-05,2719,2784,0,0,0,0,0,135.3524608,9.262,FALSO
36,2010-02-05,4597,2545,0,0,0,0,0,209.8529663,8.554,FALSO
37,2010-02-05,4597,2572,0,0,0,0,0,209.8529663,8.554,FALSO
38,2010-02-05,4947,2962,0,0,0,0,0,126.4420645,13.975,FALSO
